Year,Type,Country,Activity,Injury,Species,Fatal (Y/N),SharkSpecie
1993.0,Unprovoked,ANGOLA,Surfing,Right Leg bitten,3 m [10'] white shark,N,white shark
1993.0,Unprovoked,USA,Snorkeling,Survived,Lemon shark,N,lemon shark
1992.0,Unprovoked,USA,"Standing in waist-deep water, helping his father tend a gill net containing dead fish",Right leg bruised & abraded,"Tiger shark, 2.4 m [8']",N,tiger shark
1992.0,Unprovoked,USA,Lying on surfboard,"Minor lacerations to hand, 15"" crescent-shaped piece removed from surfboard","Tiger shark, 3 m to 4.9 m [10' to 16'] ",N,tiger shark
1992.0,Unprovoked,USA,Spearfishing / free diving,10 puncture wounds to right calf,"Mako shark, 1.8 m [6']  ",N,mako shark
1992.0,Unprovoked,USA,Surfing,Forearm  & hand bitten; tooth fragments of the shark were recovered from the surfer's hand,6' to 7' blacktip shark,N,blacktip shark
1992.0,Unprovoked,USA,Surfing,Right ankle bitten,1.8 m [6'] shark,N,
1992.0,Boating,USA,Kayaking,"No injury, kayak bitten",5 m to 6 m white shark,N,white shark
1992.0,Unprovoked,FIJI,Scuba diving,Left arm lacerated,3 m hammerhead shark,N,hammerhead shark
1992.0,Unprovoked,USA,Scuba diving (submerged),Foot punctured,Unidentified shark,N,
1992.0,Unprovoked,USA,Body boarding,Right leg severely lacerated  FATAL,"Tiger shark, 3 m to 3.7 m [10' to 12'] ",Y,tiger shark
1992.0,Unprovoked,USA,Hookah diving for sea urchins,Foot & swim fin punctured,2.5 m [8.25'] white shark,N,white shark
1992.0,Unprovoked,USA,Surfing,"Chest & arm bruised & scratched, 15"" crescent-shaped piece removed from board","Tiger shark, 4.3 m [14'] ",N,tiger shark
1992.0,Unprovoked,AUSTRALIA,Scuba diving,Minor injury while delivering pup of female shark caught in a net,Grey nurse shark,N,nurse shark
1992.0,Unprovoked,AUSTRALIA,Surfing,FATAL,4.2 m white shark,Y,white shark
1992.0,Unprovoked,USA,Surfing,Minor bruises,4 m to 5 m [13' to 16.5']  white shark ,N,white shark
1992.0,Unprovoked,BAHAMAS,"Snorkeling, carrying a speared fish in her hand",Left hand bitten,1.8 m [6'] blacktip shark,N,blacktip shark
1992.0,Unprovoked,AUSTRALIA,Surfing,"Minor cuts, sufboard bitten",4 m white shark,N,white shark
1992.0,Invalid,USA,Fell from cliff while fishing & disappeared in strong current,Body recovered next morning. Injuries appeared to be inflicted post mortem,Questionable incident,,
1992.0,Unprovoked,USA,Surfing,"No injury, board bitten",5.5 m to 6 m [18' to 20'] white shark,N,white shark
1992.0,Provoked,USA,Snorkeling,"Grabbed metal leader to shark, shark clamped on  & bit  left bicep PROVOKED INCIDENT","Nurse shark, 3', 20-lb ",N,nurse shark
1992.0,Invalid,USA,Fisherman,No details,Questionable incident,,
1992.0,Invalid,USA,"Zosimo & his son, Jeffrey Popa, failed to return from overnight fishing trip in a 14' boat, Boat apparently sank, debris recovered but his son & boat were never found","Death due to drowning. His body, tied to floating ice chest, had 2 small post-mortem bites due to cookie cutter shark",Invalid,,
1992.0,Unprovoked,USA,Standing,Lacerations to left foot,"""a small shark""",N,
1992.0,Unprovoked,REUNION,Surfing,FATAL,Bull shark or lemon shark,Y,bull shark
1992.0,Boat,JAPAN,Preparing to fish for jack-mackerel,"No inujury to occupant. Shark bit boat repeatedly, leaving  2 teeth in the bottom keel of the boat","White shark, identification by K. Nakaya",N,white shark
1992.0,Unprovoked,REUNION,Diving,Survived,Mako shark,N,mako shark
1992.0,Invalid,USA,Scuba diving ,Disappeared. His ripped dive jacket was recovered,Shark involvement prior to death was not confirmed,,
1992.0,Unprovoked,REUNION,Surfing,FATAL,"Tiger shark, 3 m to 4 m [10' to 13'] ",Y,tiger shark
1992.0,Unprovoked,NEW ZEALAND,Snorkeling,"Right forearm severed, left forearm lacerated & broken","4 m [13'], 590-kg white shark",N,white shark
1992.0,Unprovoked,SOUTH AFRICA,Surfing,Punctures & lacerations on lower leg,>2 m shark,N,
1992.0,Unprovoked,USA,"Surfing, paddling seawards","Foot bitten, crescent of bitemarks in both sides of board",Tiger shark,N,tiger shark
1992.0,Unprovoked,AUSTRALIA,Surfing,"Right thigh, back & hand lacerated","Bronze whaler shark, 3 m",N,
1992.0,Unprovoked,JAPAN,Hookah diving for pen shells ,"FATAL, body not recovered","5 m [16.5'] white shark, identification by K. Nakaya",Y,white shark
1992.0,Unprovoked,USA,Surfing (sitting on his board),"Left shoulder & side bitten, board broken",Said to involve a 6 m to 7 m [20' to 23'] white shark,N,white shark
1992.0,Unprovoked,USA,Body boarding,FATAL Disappeared. His board washed ashore next morning with crescent-shaped piece missing and serrated toothmarks of a shark,Tiger shark?,Y,tiger shark
1992.0,Unprovoked,JAPAN,Diving for pen shells,"No injury, steel diving helmet bitten 3 times",5 m [16.5'] shark,N,
1992.0,Invalid,AUSTRALIA,Surfing,"No injury, shark allegedly took his surfboard & slashed his wetsuit. Shark involvement questionable",Questionable incident,,
1992.0,Unprovoked,REUNION,Spearfishing,Survived,1.8 m grey shark,N,
1992.0,Unprovoked,AUSTRALIA,Boogie boarding,Right leg lacerated,"Bronze whaler shark, 2.3 m [7.5'] ",N,
1992.0,Unprovoked,SOUTH AFRICA,Swimming ,Right foot lacerated,"Zambesi shark, 1.7 m [5.5'] ",N,
1992.0,Unprovoked,SOUTH AFRICA,Spearfishing,Left cheek lacerated,Possibly a 1.5 m [5'] blacktip shark,N,blacktip shark
1992.0,Unprovoked,MAURITIUS,Fishing,Survived,Grey reef shark,N,
1992.0,Invalid,JAPAN,,Survived. questionable incident,Questionable incident,,
1991.0,Unprovoked,USA,Hookah diving for sea urchins,"No injury, shark became tangled in hose & towed him 100'",6 m [20'] white shark,N,white shark
1991.0,Unprovoked,USA,Snorkeling,"FATAL, right leg at hip, left leg and right forearm severed  ","Tiger shark, 2.4 m 3.4 m [8' to 11']  ",Y,tiger shark
1991.0,Unprovoked,USA,Snorkeling,Right calf abraded,"Tiger shark, 2.4 m 3.4 m [8' to 11']  ",N,tiger shark
1991.0,Unprovoked,USA,"Fishing from rocks, swept out to sea by large wave & treading water","Body not recovered, shorts found indicating shark bite on left side","Tiger shark, 3.7 m [12'] ",Y,tiger shark
1991.0,Provoked,USA,Fishing,Hand bitten as he was cleaning hooked shark PROVOKED INCIDENT,2.4 m [8'] shark,N,
1991.0,Unprovoked,AUSTRALIA,Boogie boarding,Calf scratched & chunk bitten from board,"""small shark""",N,
1991.0,Unprovoked,USA,Surfing,Right foot & ankle lacerated,1.8 m [6'] shark,N,
1991.0,Unprovoked,USA,Surfing,"Arm, shoulder & back bitten",5 m to 6 m [16.5' to 20'] white shark,N,white shark
1991.0,Invalid,BAHAMAS,Spearfishing,"Initally reported as a shark attack, forensic examination concluded cause of death was drowning",Invalid,,
1991.0,Unprovoked,AUSTRALIA,Scuba diving,FATAL,4 m [13'] white shark,Y,white shark
1991.0,Provoked,AUSTRALIA,Finning the shark that bit him,"Shark bit his arm, nearly severing it PROVOKED INCIDENT","3 m [10'], 270- kg [595-lb] shark",N,
1991.0,Unprovoked,USA,Swimming,Deep cuts on lower leg,sand shark,N,sand tiger
1991.0,Unprovoked,USA,Wading,Bite to left thigh & calf,3' shark,N,
1991.0,Provoked,USA,Fishing,Laceration to right forearm PROVOKED INCIDENT,"Lemon shark, 30-lb ",N,lemon shark
1991.0,Boating,ITALY,Canoeing,No Injury to occupant; canoe bitten,4 m [13'] white shark,N,white shark
1991.0,Unprovoked,USA,Snorkeling,Arm bitten,"2.1 m [7'], 140-lb reef shark",N,
1991.0,Unprovoked,USA,Swimming from makeshift raft  to life vest after fishing boat sank,Punctures in lower abdomen & groin ,1.8 m [6'] blacktip shark,N,blacktip shark
1991.0,Unprovoked,REUNION,Surfing,Left arm severed,"Tiger shark, 3 to 4 m [10' to 13'] ",N,tiger shark
1991.0,Unprovoked,USA,Surfing,"Forearm, upper thigh, knee & ankle lacerated",5 m [16.5'] white shark,N,white shark
1991.0,Unprovoked,USA,Boogie boarding,Severe laceration to foot,Shark involvement not confirmed,N,
1991.0,Unprovoked,USA,Swimming behind sailboat,"Left ankle, calf, thigh and abdomen bitten",2.7 m [9'] bull or lemon shark,N,bull shark
1991.0,Unprovoked,HONG KONG,Swimming ,Abdomen bitten & leg severed  FATAL,"Tiger shark, >3 m [10']",Y,tiger shark
1991.0,Unprovoked,USA,Sitting on surfboard,Right calf bitten,2.4 m [8'] shark,N,
1991.0,Unprovoked,SOUTH AFRICA,Scuba diving,"No injury, tank scratched by shark","3.5 m [11.5'] female white shark named ""Notchfin""",N,white shark
1991.0,Provoked,BRAZIL,Fishing,2 fingers severed by netted shark PROVOKED INCIDENT,"170-kg, 2.8 m shark",N,
1991.0,Provoked,USA,Diving,Minor injury by captive shark PROVOKED INCIDENT,7' female shark,N,
1991.0,Unprovoked,USA,"Surfing, collided with shark",Right thigh,1.2 m to 1.5 m [4' to 5'] shark,N,
1991.0,Unprovoked,USA,Sitting on surfboard,Deep lacerations to calf & ankle,"""Shark had a very large girth""",N,
1991.0,Unprovoked,AUSTRALIA,Scuba diving,Lacerations to arm & leg,"Grey nurse shark, 2 m",N,nurse shark
1991.0,Unprovoked,USA,Surfing,Calf lacerated & board bitten,5.5 m [18'] white shark,N,white shark
1991.0,Unprovoked,SOUTH AFRICA,Spearfishing,Foot & swim fin bitten,5.5 m [18'] white shark,N,white shark
1991.0,Unprovoked,AUSTRALIA,Surf-skiing,"No injury, shark brushed ski",4 m shark,N,
1991.0,Unprovoked,AUSTRALIA,Surfing (or sailboarding),Survived,2 m shark,N,
1990.0,Invalid,SOUTH AFRICA,,Survived,Questionable incident,,
1990.0,Unprovoked,AUSTRALIA,Swimming ,"Abdomen, hip, leg & arm bitten",1.5 m shark,N,
1990.0,Unprovoked,USA,Scuba diving (but on surface),Leg bitten,4 m to 5 m [13' to 16.5'] white shark,N,white shark
1990.0,Unprovoked,USA,Surfing,"Ear, shoulder, arm, wrist & ear injured",5' shark,N,
1990.0,Unprovoked,USA,Surfing,"Hand & wrist bitten, tooth fragments in wound",1.8 m [6'] shark ,N,
1990.0,Unprovoked,USA,Surfing,Wrist bitten,4' spinner shark,N,
1990.0,Unprovoked,USA,Surfing,"No Injury, board bitten","Tiger shark, 3.7 m [12'] ",N,tiger shark
1990.0,Unprovoked,USA,Surfing,Superficial injuries to left foot & ankle,1.8 m to 2.4 m [6' to 8'] shark,N,
1990.0,Unprovoked,SOUTH AFRICA,Spearfishing,Right hand lacerated,5 m  [16.5'] white shark,N,white shark
1990.0,Unprovoked,USA,"Free diving / spearfishing, from paddleboard & floating on the surface","Shark rammed & overturned paddleboard, knocking him into water & bit his head, lacerating his face & neck",White shark,N,white shark
1990.0,Boating,USA,Kayaking,"No injury, kayak capsized",2.5 m to 3 m [8.25' to 10']  white shark,N,white shark
1990.0,Invalid,USA,SCUBA diving,"Disappeared, body recovered with large bite on thigh",Shark involvement prior to death could not be determined,,
1990.0,Unprovoked,USA,Surfing,4 punctures on leg & board bitten,5 m to 6 m [16.5' to 20'] white shark,N,white shark
1990.0,Unprovoked,SOUTH AFRICA,Scuba diving (but on surface),"FATAL, thigh bitten  ","4.5 m [14'9""] white shark",Y,white shark
1990.0,Unprovoked,BAHAMAS,Spearfishing,Left forearm bitten,1.2 m to 1.5 m [4' to 5'] shark,N,
1990.0,Provoked,SOUTH AFRICA,Fishing,"No injury to occupants, hooked shark freed itself, then rammed stern of boat PROVOKED INCIDENT","6 m, 600-kg shark",N,
1990.0,Unprovoked,AUSTRALIA,Snorkeling,Lacerations,2 m hammerhead,N,hammerhead shark
1990.0,Unprovoked,AUSTRALIA,"Snorkeling, possibly holding a fish",Lacerations,2 m hammerhead,N,hammerhead shark
1990.0,Unprovoked,SOUTH AFRICA,Resting on surfboard,Thigh severely lacerated,"5.5 m [18'] white shark, identified by witnesses & tooth marks",N,white shark
1990.0,Unprovoked,SOUTH AFRICA,Lying on surfboard & paddling,Leg bitten,"2.3 m [7.5'] white shark, identified by M. Smale",N,white shark
1990.0,Unprovoked,AUSTRALIA,Surfing,"Lacerations & abrasions, board bitten in half","Tiger shark, 3 m ",N,tiger shark
1990.0,Unprovoked,AUSTRALIA,Surfing,"No injury, board broken in two",3 m shark,N,
1990.0,Unprovoked,AUSTRALIA,Surfing,"No injury, board bitten",3 m shark,N,
1990.0,Unprovoked,REUNION,Surfing,Survived,3 m [10'] bull shark,N,bull shark
1990.0,Unprovoked,USA,Scuba diving & spearfishing,Right arm severed  FATAL,Two sharks seen in vicinity: 2.4 m & 4.25 m  [8' & 14'] TL,Y,
1990.0,Unprovoked,USA,Surfing (sitting on his board),"No injury, board bitten",3 m to 4 m [10' to 13'] white shark,N,white shark
1989.0,Unprovoked,AUSTRALIA,,"No details, ""recovering in Darwin Hospital""","Tiger shark, 2m ",UNKNOWN,tiger shark
1989.0,Invalid,AUSTRALIA,Swimming,"Swept out to sea, feared taken by shark",Shark involvement prior to death was not confirmed,,
1989.0,Unprovoked,AUSTRALIA,Surfing,Thigh bitten,White shark,N,white shark
1989.0,Unprovoked,SOUTH AFRICA,Free diving & spearfishing,FATAL,White shark,Y,white shark
1989.0,Invalid,USA,"Wading, knocked down & swept away by large waves",Lower porton of body recovered 3 days later. Note: rare sighting of shark made at same beach on 11-5-1989 ,Shark involvement prior to death was not confirmed,,
1989.0,Unprovoked,AUSTRALIA,Swimming in canal,Left ankle broken & lacerated,"2 m shark, possibly a bronze whaler",N,
1989.0,Unprovoked,AUSTRALIA,Surfing,"No injury, board bitten",2.7 m [9'] white shark,N,white shark
1989.0,Invalid,USA,Scuba diving,"Disappeared 15 minutes into shallow dive. Decapitated body minus arm found by divers the following morning, then a large tiger shark appeared and consumed most of remains",Shark involvement suspected but not confirmed,,
1989.0,Unprovoked,USA,Surfing,Foot & leg bitten,4' shark,N,
1989.0,Invalid,USA,Diving,FATAL,Shark involvement suspected but not confirmed,,
1989.0,Unprovoked,AUSTRALIA,Surfing,No details,White shark,UNKNOWN,white shark
1989.0,Unprovoked,SOUTH AFRICA,Free diving,Chest lacerated,"White shark, identified by tooth pattern",N,white shark
1989.0,Provoked,USA,"Fishing, stepped on hooked shark's head",Bitten by hooked shark PROVOKED INCIDENT,150-lb shark,N,
1989.0,Boat,USA,Observing a shark feeding on a carcass of a humpback whale,No injury to occupants. Shark bit boat's swim step & repeatedly pushed the boat away whenever if came within 4 to 5 m of the whale carcass,4 to 5 m white shark,N,white shark
1989.0,Unprovoked,USA,Hookah diving for abalone (descending),Leg bitten,4 m to 5 m [13' to 16.5']  white shark,N,white shark
1989.0,Unprovoked,USA,Surfing,Non-fatal,Sandbar shark,N,sand tiger
1989.0,Provoked,USA,Filming 5' blue shark,Hand  & both arms bitten   PROVOKED INCIDENT,Blue Shark ,N,blue shark
1989.0,Provoked,AUSTRALIA,Feeding fish,Left leg bitten by captive shark                   PROVOKED INCIDENT,Grey nurse shark,N,nurse shark
1989.0,Unprovoked,USA,Swimming,3 wounds on left hand,1.2 m [4'] shark,N,
1989.0,Unprovoked,SOUTH AFRICA,Surfing,Multiple Injuries,>3.4 m [11'] white shark,N,white shark
1989.0,Unprovoked,AUSTRALIA,Surfing,"No injury, shark took chunk out of surfboard","Bronze whaler shark, 3 m [10'] ",N,
1989.0,Provoked,AUSTRALIA,Fishing for sharks,Laceration to arm  PROVOKED INCIDENT,3.5 m white shark,N,white shark
1969.0,Invalid,BERMUDA,Scuba diving,FATAL,Shark involvement suspected but not confirmed,,
1989.0,Unprovoked,SOUTH AFRICA,Surfing,Torso bitten,2.5 m [8.25'] white shark,N,white shark
1989.0,Unprovoked,USA,Playing ,Leg bitten,4' shark,N,
1989.0,Unprovoked,USA,Spearfishing,Puncture wounds & lacerations to both legs,1.8 m [6'] sandtiger shark,N,tiger shark
1989.0,Unprovoked,ITALY,Windsurfing (urinating on his board),Upper right thigh bitten,3 m [10'] white shark,N,white shark
1989.0,Unprovoked,SOUTH AFRICA,Surfing,"No injury, board bitten",3 m [10'] white shark,N,white shark
1989.0,Unprovoked,SOUTH AFRICA,Free diving,Forearm bitten,2.5 m [8.25'] white shark,N,white shark
1989.0,Unprovoked,USA,Swimming,Right calf bitten,1.2 m [4'] shark,N,
1989.0,Unprovoked,USA,Surfing (lying prone on his board),Forearm bitten,White shark,N,white shark
1989.0,Boat,USA,,No injury to occupants. Shark rammed boat 4 times,5 m to 7 m white shark,N,white shark
1989.0,Unprovoked,AUSTRALIA,Surfing,Thigh bitten FATAL,2 m [6.75'] white shark,Y,white shark
1989.0,Boating,AUSTRALIA,Kayaking,"No injury, but the kayak was bitten by the shark","Tiger shark, 3.5 m ",N,tiger shark
1989.0,Provoked,SOUTH AFRICA,Fishing,Thigh lacerated & abraded  PROVOKED INCIDENT,3 m [10'] gaffed shark,N,
1989.0,Unprovoked,ITALY,"Scuba diving, but swimming on surface",FATAL. His body not recovered,6 m [20'] white shark,Y,white shark
1989.0,Invalid,USA,Kayaking,Reported by media as shark attack but forensic evidence indicated the kayaker died prior to any shark involvement,Invalid,,
1989.0,Unprovoked,USA,Kayaking,"FATAL, thigh bitten, hands lacerated  ",5 m [16.5'] white shark,Y,white shark
1989.0,Unprovoked,USA,Body boarding,Foot bitten,1.8 m to 2.4 m [6' to 8'] hammerhead shark,N,hammerhead shark
1989.0,Unprovoked,AUSTRALIA,Surfing with dolphins,"Abdomen lacerated, surfboard holed","Tiger shark, 4 m [13'] ",N,tiger shark
1989.0,Unprovoked,PAPUA NEW GUINEA,"Scuba diving, hand feeding sharks",Thigh & calf bitten,7' silvertip shark,N,
1988.0,Unprovoked,CHILE,Skindiving,FATAL,16' white shark,Y,white shark
1988.0,Unprovoked,USA,Surfing (sitting on his board),Leg bitten & femur fractured,5.5 m to 6 m [18' to 20']  white shark,N,white shark
1988.0,Unprovoked,AUSTRALIA,Surfing,Lacerations to right leg,7' shark,N,
1988.0,Unprovoked,USA,Surfing,Lacerations to left thigh,6' shark,N,
1988.0,Unprovoked,USA,Surfing,Left leg lacerated,1.2 m to 1.5 m [4' to 5'] shark,N,
1988.0,Unprovoked,USA,Surfing,Hand lacerated,1.2 m to 1.5 m [4' to 5'] shark,N,
1988.0,Unprovoked,USA,Wading,Leg lacerated,1.2 m [4'] shark,N,
1988.0,Unprovoked,USA,Surfing,Lacerations to foot,5' shark,N,
1988.0,Unprovoked,USA,Walking,Dennis' hand injured; Ann's right forearm bitten,1.8 m [6'] shark,N,
1988.0,Unprovoked,USA,Snorkeling,"FATAL, thigh & hand lacerated",3 m [10'] bull shark,Y,bull shark
1988.0,Provoked,USA,Diving in Sharkey's Reef restaurant�s aquarium,Arm bitten by captive shark PROVOKED INCIDENT,"Tiger shark, 1.8 m [6']",N,tiger shark
1988.0,Unprovoked,USA,Surfing,Thigh bitten,2.4 m to 3 m [8' to 10'] white shark,N,white shark
1988.0,Unprovoked,BAHAMAS,Free diving & spearfishing ,Hand bitten,2 m to 2.5 m shark,N,
1988.0,Unprovoked,BAHAMAS,Spearfishing on scuba,Cheek bitten,1.5 m [5'] Caribbean reef shark,N,
1988.0,Unprovoked,BAHAMAS,Diving,Right palm lacerated,1.5 m [5'] Caribbean reef shark,N,
1988.0,Unprovoked,BAHAMAS,Snorkeling,Leg lacerated,1.5 m [5'] shark,N,
1988.0,Unprovoked,SOUTH AFRICA,Spearfishing,Left arm lacerated,White shark,N,white shark
1988.0,Unprovoked,USA,Scuba diving,Survived,Sandtiger shark,N,tiger shark
1988.0,Unprovoked,USA,Sittting in water with his child,Left leg bitten,Sand shark?,N,sand tiger
1988.0,Unprovoked,USA,Surfing,Cuts to right foot and ankle,1.8 m to 2.4 m [6' to 8'] shark,N,
1988.0,Unprovoked,USA,Surfing,No Injury,White shark,N,white shark
1988.0,Invalid,USA,Onboard 21' powerboat that capsized in rough seas,"Human remains, believed to be those of Mr. Goo, washed ashore along the Waihee shore several days later",Shark involvement prior to death was not confirmed,,
1988.0,Invalid,SOUTH AFRICA,,"Arm washed ashore. scratch marks on the humerus indicated it had been bitten by a shark, but cause of death could not be determined.",Shark involvement prior to death was not confirmed,,
1988.0,Unprovoked,SOUTH AFRICA,Surfing,"Lower left leg bitten, hand lacerated",1.5 m to 2 m [5' to 6.75'] shark,N,
1988.0,Boat,SOUTH AFRICA,,"No injury to occupants, pontoon puctured","Raggedtooth shark, 2 m ",N,
1988.0,Unprovoked,SOUTH AFRICA,Surfing,Ankle bitten,"1 m ""grey-colored"" shark",N,
1988.0,Unprovoked,SOUTH AFRICA,Lying atop surfboard,"Leg bitten, surgically amputated",Zambezi shark (tooth fragments recovered),N,
1988.0,Boat,AUSTRALIA,Drift fishing,"No injury to occupants; shark leapt into boat, almost capsizing it and destroyed the inside of the boat","Mako shark, 3 m [10'], 200-kg [441-lb] ",N,mako shark
1988.0,Unprovoked,Fiji,Diving,Lacerations to left arm & waist,"Tiger shark, 3 m ",N,tiger shark
1988.0,Invalid,SOUTH AFRICA,Surfing,Minor injury to leg,Shark involvement not confirmed,,
1988.0,Invalid,AUSTRALIA,Fell overboard  from the Taiwanese fishing trawler Lien Cheng Feu ,His remains were recovered from a shark caught by  the trawler Ho Tai No.12 in March 1988,Shark involvement prior to death was not confirmed,,
1988.0,Provoked,USA,Fishing,Hand bitten by captured shark PROVOKED INCIDENT,Mako shark,N,mako shark
1988.0,Provoked,SOUTH AFRICA,Attempting to lasso shark's tail,Foot lacerated by hooked shark PROVOKED INCIDENT,1.5 m copper shark,N,
1988.0,Provoked,SOUTH AFRICA,"Returning to shore, collided with shark","No injury to occupants; shark ripped off fibreglass hull, swamping boat PROVOKED INCIDENT",6 m shark,N,
1988.0,Unprovoked,AUSTRALIA,Surfing,Hand bitten,Wobbegong shark,N,
1987.0,Unprovoked,USA,Surfing,Left calf bitten,1.8 m [6'] blacktip shark,N,blacktip shark
1987.0,Invalid,AUSTRALIA,,"Remains recovered from 4 m, 420-kg, caught 13-Dec-1987k",Shark involvement prior to death was not confirmed,,
1987.0,Invalid,SOUTH AFRICA,,Possible drowning / scavenging,Shark involvement prior to death was not confirmed,,
1987.0,Unprovoked,USA,Surfing,Buttock & leg bitten,2 m [6.75'] shark,N,
1987.0,Invalid,SOUTH AFRICA,Boogie boarding,Abrasion to forearm,Questionable incident,,
1987.0,Unprovoked,SOUTH AFRICA,Spearfishing,Left thigh & calf lacerated,White shark,N,white shark
1987.0,Sea Disaster,DOMINICAN REPUBLIC,"Vessel caught fire & capsized, survivors in the water","Of 160 people on board, >100 missing",40 to 50 sharks attacked survivors in the water,Y,
1987.0,Unprovoked,AUSTRALIA,Scuba Diving for scallops,FATAL,White shark,Y,white shark
1987.0,Unprovoked,SOUTH AFRICA,Surfing,Torso lacerated,3.5 m [11.5']  white shark,N,white shark
1987.0,Unprovoked,USA,Wading,Lower left leg lacerated,1.2 m to 1.5 m [4' to 5'] shark,N,
1987.0,Unprovoked,USA,Surfing (sitting on his board),Fingers & surfboard injured,5.7 m white shark,N,white shark
1987.0,Unprovoked,USA,Surfing,Right foot & ankle lacerated,3' to 4' shark,N,
1987.0,Unprovoked,USA,Body surfing,Left foot bitten,4' shark,N,
1987.0,Unprovoked,USA,Wading,Puncture wounds to right foot,4' shark,N,
1987.0,Boat,USA,Dropping anchor,No injury to occupants. Shark grabbed anchor ,12' shark,N,
1987.0,Unprovoked,BAHAMAS,Spearfishing,Puncture marks to torso,2.5 to 3 m shark,N,
1987.0,Provoked,USA,Fishing,Left hand bitten by shark he was dragging ashore by its head PROVOKED INCIDENT,1.5 m [5'] blacktip shark,N,blacktip shark
1987.0,Unprovoked,USA,,"6"" cut to thigh",1.5 m to 1.8 m [5' to 6'] shark,N,
1987.0,Invalid,SOUTH AFRICA,Fishing,"Slipped off rocks & was treading water when he disappeared, body mutilated by shark/s",Shark involvement prior to death was not confirmed,,
1987.0,Unprovoked,VANUATU,Swimming,FATAL,4.3 m shark,Y,
1987.0,Unprovoked,AUSTRALIA,Surfing,Calf lacerated,"Bronze whaler shark, 2 m to 3 m ",N,
1987.0,Provoked,SOUTH AFRICA,,"No injury to occupants, boat holed by hooked shark PROVOKED INCIDENT",3 m white shark,N,white shark
1987.0,Unprovoked,USA,Windsurfing,"Lacerations to toe, heel & ankle of right foot",Spinner shark,N,
1987.0,Unprovoked,SOUTH AFRICA,Spearfishing,Puncture wounds to right hand,>2.5 m [8.25'] white shark,N,white shark
1987.0,Invalid,MONTENEGRO,Jumped into the water from a cliff,FATAL,Doubtful / Unconfirmed attack / Unable to verify in local records,,
1987.0,Boat,ITALY,Boat,No injury,White shark,N,white shark
1986.0,Unprovoked,SOUTH AFRICA,Spearfishing,2 punctures in lower leg,"Raggedtooth shark, 2.5 m [8.25'] ",N,
1986.0,Unprovoked,SOUTH AFRICA,Body boarding,"FATAL, legs bitten ",3 m [10'] white shark,Y,white shark
1986.0,Unprovoked,USA,Surfing,Forearm bitten,1.8 m to 2.1 m [6' to 7'] spinner or blacktip shark,N,blacktip shark
1986.0,Unprovoked,USA,Free diving  & spearfishing (submerged),"Punctured lung, lacerations to shoulder, face, jaw, neck & forearm",5 m to 6 m [16.5' to 20'] white shark,N,white shark
1986.0,Invalid,SOUTH AFRICA,Spearfishing,"No injury, no attack, 1.8 m copper shark made threat displays",Invalid,,
1986.0,Unprovoked,NEW CALEDONIA,Spearfishing,Right leg bitten,Tiger shark,N,tiger shark
1986.0,Provoked,SOUTH AFRICA,NSB Meshing,Minor lacerations & puncture wounds to right leg from netted shark taken onboard skiboat PROVOKED INCIDENT,"Raggedtooth shark, 1.96 m, 140-kg ",N,
1986.0,Unprovoked,USA,Swimming,Hip & thigh bitten,"Lemon shark, 1.8 m to 2.4 m [6' to 8'], tooth fragment recovered",N,lemon shark
1986.0,Unprovoked,SOUTH AFRICA,Racing ski,"No injury, ski bitten",1.6 m shark,N,
1986.0,Unprovoked,USA,Surfing,Laceration to right arm,Bull shark,N,bull shark
1986.0,Invalid,USA,,Human hand recovered from 1.5 m [5'] blacktip shark's stomach,Shark involvement prior to death was not confirmed,,
1986.0,Invalid,SOUTH AFRICA,Spearfishing,"No injury, shark made threat display & impaled itself on spear ",Invalid,,
1986.0,Unprovoked,AUSTRALIA,Scuba diving,Survived,Wobbegong shark,N,
1986.0,Boat,AUSTRALIA,Fishing,"No injury to occupants. Shark bit motor, lifting stern a half-metre out of the water",Tooth fragment of a white shark recovered. Authorities believed shark was 6 m [20']  total length,N,white shark
1986.0,Unprovoked,USA,,Back of left thigh bitten,1.5 m [5'] shark,N,
1986.0,Unprovoked,SOUTH AFRICA,Spearfishing,Minor lacerations on left hand,1.2 m [4'] dusky shark,N,
1986.0,Unprovoked,AUSTRALIA,Scuba diving,Survived,Wobbegong shark,N,
1986.0,Unprovoked,SPAIN,Diving,Abrasions,2 m shark,N,
1986.0,Unprovoked,SPAIN,Windsurfing,Foot severed,3.5 m white shark,N,white shark
1986.0,Unprovoked,SOUTH AFRICA,Treading water,Foot bitten,>1 m shark,N,
1986.0,Unprovoked,SOUTH AFRICA,Surfing,"No injury, board struck by shark",2 m [6.75'] shark,N,
1986.0,Unprovoked,SOUTH AFRICA,Surfing,"No injury, board bitten",>2.4 m [8'] white shark,N,white shark
1986.0,Unprovoked,SOUTH AFRICA,Swimming,Lower leg lacerated,Raggedtooth shark,N,
1986.0,Unprovoked,SOUTH AFRICA,Spearfishing,2 punctures in upper arm,"Raggedtooth shark, 2 m [6.75'] ",N,
1986.0,Unprovoked,AUSTRALIA,Surfing,"No injury, knocked into water & board bitten","Bronze whaler shark, 3.5 m ",N,
1986.0,Unprovoked,USA,Surfing,Puncture wounds to both feet,Blacktip shark,N,blacktip shark
1986.0,Unprovoked,USA,Surfing,"No injury, foot bumped",1.5 m [5'] shark,N,
